body_temperature,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,health_status
37.8,24.9,32,13257,3.4,3,78,1.9,11.1,7,4,healthy
37.5,14.7,22,5897,7.2,1,51,1.3,14.6,4.6,1,unhealthy
39.2,16.6,25,5717,3.5,3,45,2.7,11.9,4.8,2,unhealthy
38.8,6.7,15,5004,7,1,43,1.4,14,4.9,2,unhealthy
37.8,17.2,25,7363,7.2,2,45,1.3,14.2,3.7,4,unhealthy
39.2,6.6,14,5004,7.2,2,50,1.3,13.7,4.1,2,unhealthy
38.9,15.1,14,6176,6,3,51,2,15.1,5.7,5,unhealthy
37.7,14.1,23,12174,4.4,3,68,2.9,11.4,7,4,healthy
39.8,15.3,17,9687,7.2,3,37,1.6,13.6,3.5,3,unhealthy
39.2,10.3,17,12124,5,1,82,2.8,11.8,7,3,healthy
37.8,22.2,35,12585,3.7,2,75,2.5,12.6,6,2,healthy
39.2,13.9,14,5004,7.2,3,42,1.3,14.5,4.8,2,unhealthy
39.7,10.9,14,5517,7.2,1,46,1.9,14.8,5.1,1,unhealthy
39.2,6.6,14,5759,7.2,3,44,1.7,14.2,5.2,1,unhealthy
38.3,22,24,13257,4,2,83,2.4,11.9,5.5,3,healthy
37.7,15.7,28,13257,3.8,1,60,3.8,11.8,7,2,healthy
37.9,13.4,32,12517,4.1,4,80,1.9,12.9,5.7,4,healthy
38.1,25.4,34,6549,4.9,3,64,2.5,12.7,6.9,2,unhealthy
39.4,15,29,5210,7.1,1,42,1.5,14.7,3.5,2,unhealthy
39.1,10.9,20,5594,6.9,4,44,1.5,13.6,4.3,3,unhealthy
39,16.2,18,6706,6.4,1,45,3.2,12.9,6.4,3,unhealthy
39,5.1,14,5596,7.2,3,44,1.3,13.1,5.9,2,unhealthy
38.2,5.1,27,13257,4.9,1,77,2,13.6,5.2,2,healthy
37.6,23.2,39,13216,4,3,79,3.3,12,7,3,healthy
39.2,6.6,15,12444,7.2,1,37,1.7,13.3,3.3,2,unhealthy
39.8,17.3,23,5004,7.2,2,47,2.1,14.6,3.7,2,unhealthy
37.9,23,14,12688,4.6,1,50,2.2,14,6.2,3,healthy
39.3,15.3,26,5766,7,4,44,1.3,14.8,7,3,unhealthy
38,13.6,14,8073,4.2,3,42,4,12.6,6.6,3,healthy
39.8,20.6,24,5556,7.2,2,39,1.5,14.7,4.2,3,unhealthy
39.2,5.1,16,6520,7.1,4,37,1.3,14.8,4.8,3,unhealthy
39.3,5.1,27,5656,7.2,3,46,2.6,14.8,6.8,2,healthy
39.1,14.3,20,5912,7.2,3,82,2.6,12.3,6.3,3,unhealthy
39.3,5.3,14,5831,7.2,4,53,1.3,14.6,5.8,1,unhealthy
38.2,25,33,13257,3.9,1,58,2.5,12.1,6.9,4,healthy
39.1,12.7,14,5636,7.1,1,37,1.5,14.7,4.4,1,unhealthy
39.2,14.5,14,5004,7.2,1,38,1.6,12.7,4.6,3,unhealthy
39.2,6.6,18,7015,7.2,5,47,1.6,14.7,3.1,3,unhealthy
39.1,14.2,16,6954,7.2,3,51,1.3,6,4.6,3,unhealthy
38.3,21.9,46,13060,4.4,1,75,2.6,12.8,6.6,3,healthy
37.8,13.2,31,12707,4.6,2,83,1.9,11.3,5.9,3,healthy
39.2,6.7,14,5670,7.2,2,45,1.3,14.9,3.6,3,unhealthy
40.3,10.7,19,6495,7,3,37,1.3,14.1,3.3,3,unhealthy
39.1,23.3,16,5977,6.8,3,42,2.4,14.7,3.5,3,unhealthy
39.4,14.1,17,6372,7.2,3,50,1.3,10.9,3,1,unhealthy
35.5,12.8,21,5240,3.9,1,63,3,12.9,5.8,3,healthy
38,20.8,22,12624,4.6,1,83,2.1,11.1,6.4,2,healthy
39.1,9.9,14,5074,7.2,3,37,1.3,14.7,5.3,2,unhealthy
37.8,10.2,25,11702,4.2,3,51,2.3,11.7,7,4,healthy
39.5,7.7,29,5264,6.9,3,45,1.3,14.6,4.8,1,unhealthy
39.4,8.7,14,5562,7,3,40,1.3,14.6,3.5,2,unhealthy
39.9,5.1,14,5004,7.2,2,45,1.3,15.5,5,1,unhealthy
37.8,22.5,29,13057,4.4,4,61,2.8,11.7,6.3,3,healthy
39.1,13.7,19,12468,7.2,2,45,1.5,14.7,6.3,3,unhealthy
39.4,12.2,14,5925,7.2,3,48,2,14.5,5.6,2,unhealthy
37.7,21.9,19,13257,4.3,2,83,2.5,11.9,7,4,healthy
39.2,17,20,5880,6.3,2,40,1.9,14.5,4.8,3,unhealthy
39,10.8,14,5531,7.2,2,47,1.4,15.1,3.6,2,healthy
39.3,10.3,14,6601,7.2,3,44,1.4,15.7,4.7,3,unhealthy
37.8,15.7,28,11646,3.6,1,70,2.5,12.1,6.7,3,healthy
37.9,14.5,24,13257,2.8,3,67,2.2,12.6,6.6,2,healthy
39.4,12.5,20,6847,7.2,3,41,1.4,13.7,3.1,3,unhealthy
39.5,14.7,17,6881,7.2,5,43,1.3,14.5,3.2,3,unhealthy
37.5,22.1,16,11860,4.3,3,83,3.5,11.3,7,3,healthy
39.6,7.7,14,5509,7.2,1,40,2.6,15.3,5.3,3,unhealthy
37.7,14.4,25,6691,7.2,3,44,1.6,11.7,3.6,2,unhealthy
39,13.5,14,6028,6.8,1,42,1.3,14.3,5.4,3,unhealthy
37.8,24.2,34,13257,4.6,2,65,2.2,11.8,5.8,4,healthy
38,22.3,32,13257,4.3,1,73,2.1,11.8,6,5,healthy
39.3,6.5,18,6957,7.2,1,49,1.9,15,3.6,3,unhealthy
38,18.4,38,13257,3.9,2,77,2.4,12.2,6.9,2,healthy
37.9,13.8,17,6565,6.7,3,37,1.9,14.1,5.2,3,unhealthy
39.3,15.9,22,5004,7.2,3,50,1.3,14.9,5.1,1,healthy
38.2,26,35,13257,3.7,3,78,3.3,11.5,7,3,healthy
38,11.9,17,13257,4.2,2,76,1.7,12.8,5.7,3,healthy
37.8,9.2,17,12969,4.3,1,64,2.9,12,7,3,healthy
39.7,5.1,14,5004,5.1,3,43,2,13.7,5.4,1,healthy
39.2,5.1,14,5764,7.2,3,46,2.4,15.8,5,3,unhealthy
39.7,12.3,18,5952,7.2,2,43,1.8,13.7,5.6,3,unhealthy
37.7,19.9,17,11406,4.6,1,83,3.8,12.6,7,4,healthy
39.4,13.8,17,5256,6.5,3,45,1.9,13.9,5.3,3,unhealthy
39.1,12.1,16,6224,4.8,1,49,1.4,13.3,6,3,unhealthy
39.7,10.4,15,6771,4.6,3,53,1.3,13.8,3,2,unhealthy
38.2,11,19,6928,3.6,1,47,2,12.5,7,3,unhealthy
38.9,8.8,14,5073,7.2,4,39,1.3,14.6,5.4,3,unhealthy
37.8,19.3,20,11781,4.6,1,83,2.9,13,7,2,healthy
39.5,6.6,14,5004,7.2,4,55,1.3,13.4,5.4,3,unhealthy
39.1,13.3,14,6907,4.1,4,45,3.3,14.2,3.4,2,unhealthy
38,12,22,5778,4.3,3,79,1.5,11.9,6.7,3,healthy
38,19.6,29,13257,4.5,2,80,2.2,12.7,7,4,healthy
37.9,11,24,12620,3.6,2,56,2.4,11.3,7,3,healthy
37.7,25.6,32,12703,3.4,1,69,2.7,11.6,6.9,3,healthy
39,12.2,14,5004,7.2,2,48,3.8,14.8,5.3,1,unhealthy
38.9,15.7,14,6567,6.9,3,37,2.5,15.2,3.5,3,unhealthy
39.6,6.8,24,6629,7.2,2,44,1.6,13.9,7,2,unhealthy
39.2,13,23,5004,7.1,4,37,1.3,14.1,5.4,3,unhealthy
37.9,12.6,34,12624,4.1,1,66,3.1,11.8,7,4,healthy
37.9,13.8,21,12289,6.5,3,64,2.6,14,5.5,1,unhealthy
37.7,13.1,25,13257,4,1,83,1.6,12.4,4.3,4,healthy
39.2,5.1,14,5857,7.2,3,39,1.3,15.4,5.5,3,unhealthy
39.1,13.9,16,5004,7.2,1,42,1.3,16.4,4.6,1,unhealthy
39.1,11.9,14,9810,4,1,58,2.5,14.9,6.4,1,unhealthy
38,17.8,31,13178,4.4,2,83,1.8,12.8,6.6,2,healthy
39.5,15.1,34,12859,4.3,1,57,2.3,11.1,6.7,3,healthy
39.1,18.2,14,5622,6.1,3,39,2.1,14.1,3.4,1,unhealthy
39,5.9,14,5516,7.2,2,38,1.3,14.2,4.8,3,unhealthy
38.9,13,14,11982,3.8,4,73,1.5,14.1,4.9,2,healthy
35.5,14.3,25,11779,3.9,2,50,3.1,11.3,6.8,3,healthy
39.1,11.7,36,8780,3.9,3,63,1.8,12.5,7,3,unhealthy
39,14.5,14,12529,7.2,1,53,2.3,15.3,5.9,2,unhealthy
39,15.2,14,10901,7.2,2,50,1.3,13.9,5.4,3,unhealthy
39.7,8,14,5004,7.2,2,37,2.7,14.2,4.4,2,unhealthy
37.9,14.7,30,12363,4,1,77,2.2,11.4,6.8,4,healthy
39.8,5.1,18,7356,7.2,3,37,1.3,13.1,3.5,2,unhealthy
39.3,15.8,14,6777,6.1,3,42,2.5,13.8,5.3,3,unhealthy
38.8,9,14,6176,7.2,1,45,1.3,13.5,4.5,3,unhealthy
37.7,10.6,33,6432,4.4,3,81,2.8,11.3,7,3,healthy
37.8,16,16,6727,4.4,3,44,3.2,13.6,5.6,3,unhealthy
37.9,14.8,14,5831,3.9,3,73,2.2,12.6,6.2,4,unhealthy
39.6,16.5,14,5871,6.9,3,49,1.8,15.5,3.6,2,unhealthy
39.6,10.4,21,12393,3.5,4,50,2.1,13.7,6.7,2,healthy
39.6,12.9,14,6610,7.2,3,39,1.4,13.9,5.3,3,unhealthy
38.9,11.2,14,5299,7.2,3,47,2,14.9,5.4,2,unhealthy
38.9,11,14,6393,7.2,4,47,2.2,14.7,5.3,1,unhealthy
39,6.7,14,6604,6.5,3,37,1.3,14.1,3.8,2,unhealthy
39.1,11.9,14,7449,7.2,3,39,2.1,12.9,3.9,2,unhealthy
37.7,11.9,15,7916,6.3,4,48,3.2,14.2,6.7,3,healthy
39.2,10.2,16,6299,7.2,1,45,1.7,15.6,4.1,2,unhealthy
38.4,12.5,26,6559,6.5,1,42,1.6,14.2,6.8,1,healthy
37.7,18.5,21,13257,4.9,4,83,4,11.2,6.6,4,healthy
39.4,17.1,14,10644,4.2,1,46,2.8,14.6,5.8,2,healthy
38.9,7,15,5953,7.1,3,50,1.3,13.7,5,1,unhealthy
39.2,6.9,14,6042,7.2,2,45,1.3,15,4.2,2,unhealthy
38.1,19.9,49,13035,4.2,2,58,2.6,12,6.7,3,healthy
38.1,25,18,12022,4.5,2,76,3.4,12.1,7,5,healthy
38.2,26.5,48,12840,4.2,4,74,2.9,12.6,6.9,3,healthy
39.1,11.6,21,5631,7.2,3,43,1.4,14.1,3.6,3,unhealthy
37.8,20.1,31,12763,4.7,2,75,2.1,11.5,7,5,healthy
38,22.9,14,12444,4.6,1,51,1.8,13.8,5.8,2,healthy
39.1,15.1,14,5398,6.6,1,39,2.2,16,7,1,healthy
38,10.5,28,13257,4.5,3,77,3.3,12.2,7,3,healthy
37.8,10.6,35,12194,3.7,1,63,2.9,12.3,7,1,healthy
39,16.2,14,5012,6.4,1,48,2.8,14.3,6.4,2,unhealthy
37.9,10.9,19,12903,3.7,3,41,1.3,13.9,7,3,unhealthy
39.2,12.4,14,5350,6.8,1,48,2.6,15,5.5,3,unhealthy
38.3,13.3,30,6322,4.2,4,74,2.2,12.1,6.3,1,healthy
38.1,10.6,48,12506,4.6,3,45,2.2,13,5.9,5,healthy
39.1,9.7,14,6444,3.6,3,46,2.8,13.7,5.5,3,unhealthy
39,12.4,14,5625,7.2,1,43,2.9,14.3,5.7,5,unhealthy
39.7,5.1,14,5004,7.2,1,46,1.3,14,3.7,1,unhealthy
38.8,8.4,14,5465,7.2,3,40,1.3,14.1,4.9,3,unhealthy
38.9,13.9,14,5004,7.2,2,52,2.2,15.8,5,2,unhealthy
39.3,7.9,14,8684,7.2,3,52,2,13.8,5.3,2,unhealthy
39,12.5,14,5352,7.1,2,37,3,13.8,5.6,2,unhealthy
37.4,10.1,26,6688,4.7,3,49,2.8,12.3,6.6,3,healthy
39.2,11.9,14,5100,7.2,3,37,1.4,14.5,3.9,3,unhealthy
39,6.2,14,6383,6.8,1,37,1.8,13.6,3.2,2,unhealthy
39.3,5.1,14,8434,7.2,1,44,1.3,14.4,3.3,1,unhealthy
37.8,21.5,31,11472,4.3,3,66,3,12.8,7,4,healthy
39.5,6.5,15,5004,7.2,1,48,1.3,14.7,4.5,1,unhealthy
37.9,25.5,22,11765,4.4,3,80,3.2,12.7,7,4,healthy
38.2,12.6,19,12330,4.7,1,57,2.6,12,6.4,2,healthy
39.5,9.9,15,5926,6.5,2,37,2.1,14.4,5.4,3,unhealthy
37.7,10.9,42,13257,4.8,4,83,1.5,11,6.9,2,healthy
39.3,9.5,23,5307,7.2,4,47,2.1,14.5,4.9,3,unhealthy
37.8,11.5,16,13199,4.6,1,55,2.1,13.5,7,3,healthy
38.1,16,21,12571,4.4,3,72,2,11.3,5.3,3,healthy
39.2,12.4,21,10940,7.2,4,38,3,15.7,6,2,unhealthy
39,5.6,14,5576,4.4,1,38,1.5,14.4,4.4,2,unhealthy
39.5,16.3,16,7377,6.8,1,46,2.2,15,4.1,2,unhealthy
39.2,9.1,15,6642,6.8,3,41,1.3,14.1,3.3,1,unhealthy
37.9,16,38,12538,7.2,1,79,1.5,13,5.5,3,unhealthy
39.1,15.9,22,7057,7.2,2,49,1.8,12.8,3.9,2,unhealthy
39.1,5.1,14,5004,6.3,3,46,1.3,13.6,5.1,3,unhealthy
38,14.4,18,10334,4,1,81,2.2,12.5,7,4,healthy
39,13.1,16,5561,3.9,1,38,3,15.6,6.8,3,healthy
38,10.8,26,12493,5,1,60,2.6,12.2,7,4,healthy
39.4,13.8,19,5004,7.2,3,46,1.8,14.1,7,3,unhealthy
39.1,10,14,6364,7.2,1,38,3.2,14.5,3.5,3,unhealthy
39.1,6.7,14,6729,7.2,1,37,1.3,13.5,5.5,2,unhealthy
38,23.7,19,11961,4.5,4,53,2.8,12.4,6.6,3,healthy
38.9,12.2,14,6067,7.2,3,44,3.2,14.6,6.2,2,unhealthy
37.8,11.9,34,12572,4.3,1,70,1.5,11.7,7,2,healthy
38.3,12.7,45,12524,4.3,2,58,2.4,12.6,6.6,1,healthy
37.8,25,14,9907,4.1,2,51,2.2,12.6,6.4,2,healthy
39.5,14.5,14,5004,7.2,1,46,1.3,14.9,5.4,3,unhealthy
37.9,26.1,32,13257,3.7,3,67,2.8,12.5,6.5,2,healthy
39,13.7,14,6092,7.2,1,57,1.4,15.1,4.5,1,healthy
39.3,9.7,17,5511,7.2,3,52,1.3,14.4,3.8,2,unhealthy
38,22.4,27,12376,4.8,2,80,2.3,12.6,7,2,healthy
39.5,16.6,23,7087,6.5,2,42,2.2,14.2,5.1,3,unhealthy
39.1,8.9,14,5635,5.9,1,41,1.6,14,4.7,1,unhealthy
39,12.8,14,12290,4.4,1,41,3.1,13.2,6.7,3,healthy
39.5,5.4,21,7265,6.8,3,42,2.3,14.3,3.5,4,unhealthy
39.3,6.8,14,5732,7.2,2,41,1.4,14,3,1,unhealthy
38.1,21.4,23,12827,4.2,5,75,2.3,12.7,7,3,healthy
39.2,12.5,33,6493,4.7,3,77,2.1,10.5,4.2,2,healthy
39.1,6.7,17,6458,6.7,3,47,2.8,15.4,3.6,2,unhealthy
39,9.8,26,12868,4.3,4,53,3.5,12.2,6.6,3,unhealthy
37.8,13.4,18,13230,6.7,4,46,1.5,12.1,5.3,3,healthy
37.9,24.8,16,11974,4.8,1,83,2.4,11.9,5.8,5,healthy
39.2,9.7,14,5469,7.2,1,38,1.4,14,5.3,3,unhealthy
39,10.1,14,5583,7.2,5,41,2.1,14.2,6.2,3,unhealthy
37.9,13.6,14,11819,4.4,3,58,3.5,11.8,6.8,2,healthy
37.9,19.4,27,13257,4.4,3,74,2.1,10.8,6.4,2,healthy
38.3,25.9,31,12943,3.7,3,77,1.9,11.7,7,3,healthy
39.1,8,16,5490,7.2,2,47,1.5,14.8,4.1,3,unhealthy
37.9,19.6,25,13178,4.4,2,83,3,11.7,7,2,healthy
37.8,11.1,38,12387,3.6,1,75,2.4,12.5,6.9,3,healthy
38,11.1,25,12854,3.6,1,64,3.6,11.8,7,4,healthy
39,5.1,14,5299,6.9,2,43,3.1,14.9,5.1,1,unhealthy
37.7,22,21,10902,5,1,83,3.2,11.3,7,3,healthy
37.7,22.3,14,12551,4.1,3,45,3.3,15.1,6.1,4,healthy
38,9.4,27,11424,4.7,2,63,1.5,12.3,7,3,healthy
38.9,16.1,14,5629,7.2,1,45,1.3,13.6,5.1,1,unhealthy
38,12.6,43,12636,5,1,81,1.8,11.4,7,4,healthy
39.1,5.1,14,5336,7.2,2,38,1.3,13.7,4.5,3,unhealthy
38.1,15.9,41,13257,3.5,3,65,2.2,13,5.8,2,healthy
39.2,7.4,20,5983,6.4,4,37,2.1,14.6,3,3,unhealthy
39.2,9.7,16,5918,4.4,3,49,3.8,14.8,7,3,healthy
39.2,11.4,18,5411,6.4,5,48,2.3,14.2,6.1,3,unhealthy
37.9,26.5,33,12069,4,1,69,2.7,11.2,7,4,healthy
39,6,14,5957,6.1,3,37,1.3,14,5.1,1,unhealthy
37.7,14.9,19,11941,3.3,3,62,3.4,12.4,6.4,4,healthy
39.5,8.3,22,5671,7.2,1,37,1.7,15.3,5.5,2,unhealthy
38.9,7.1,14,5078,7.2,3,54,1.3,14.3,5.8,3,unhealthy
38.2,18.7,28,12939,4.6,2,83,2.2,11.7,6.6,3,healthy
38.9,5.1,17,6878,7,2,40,1.3,14.1,5.4,3,unhealthy
38,20,36,12009,3.7,1,53,2.7,11.6,7,3,healthy
37.9,15.9,14,11104,7.2,3,44,1.4,13.8,7,3,healthy
38.3,21.5,25,13257,4.5,1,83,1.3,12.9,6.8,4,healthy
39.3,13,14,6670,7,1,39,1.3,14.5,3.3,2,unhealthy
37.8,18.7,31,13257,3.8,1,83,1.9,11.4,5.7,4,healthy
39.1,12.9,18,12391,4.8,1,83,2.2,11.7,7,2,healthy
37.9,12.9,36,12311,4.1,3,75,2.8,11.8,7,3,healthy
39,13.6,22,5004,7.1,3,45,1.4,14.6,6,3,unhealthy
39.9,17.1,40,13095,3.1,1,40,2.7,14,5.2,3,healthy
39.1,12.8,14,5304,7.2,1,42,1.3,14.9,5.1,2,unhealthy
39.1,15.8,17,5004,7.2,3,46,1.7,14.7,4.8,3,unhealthy
37.9,14.7,33,12143,4.4,4,79,1.8,12.4,6.3,3,healthy
39,5.1,14,6839,7.2,2,54,1.3,14.8,4.1,3,unhealthy
37.8,19.5,29,13257,4,3,56,4.1,11.5,6.2,2,healthy
39,10.5,14,7196,6.9,3,42,1.4,15.5,4.6,1,unhealthy
39.5,15.3,14,5941,7.2,3,42,1.3,16.4,3.8,3,unhealthy
38,12.2,27,10746,4.9,1,74,1.9,11.5,7,4,healthy
38.1,22,29,12483,4.4,3,63,1.5,11.4,6.1,2,healthy
38.3,13,30,10871,4.3,3,63,2.8,13.6,6.4,3,healthy
37.7,26.5,19,12283,4.9,4,83,3.5,11.1,7,4,healthy
39,5.6,14,5535,7.2,2,38,1.7,13.9,4.7,4,unhealthy
39.1,13.9,22,12956,4,1,73,2.6,11.1,6.3,1,healthy
38.1,18,18,13257,5.1,4,68,3.9,11.7,5,3,healthy
37.9,17.7,18,5058,4.1,3,81,1.5,13.4,6.2,1,unhealthy
39.7,17,24,7340,7.2,1,53,1.3,14.7,4.2,2,unhealthy
39,14.7,19,7790,6.5,3,43,2.5,11.4,5.5,1,unhealthy
39,10.8,14,6954,6.3,3,37,1.9,13.6,5.2,3,unhealthy
37.8,9.1,42,12390,4.3,2,83,2.3,11.7,7,1,unhealthy
39,12.8,14,6808,7.2,1,47,1.3,13.8,4,5,unhealthy
39.2,8.6,21,5737,7.2,2,50,2.5,15.2,4.3,5,healthy
39.5,19.8,23,5004,6.6,1,44,1.3,13.9,5.6,5,unhealthy
39.3,10.5,15,6787,6.5,2,37,1.3,13.4,5.5,3,unhealthy
39.4,12.5,14,6687,4.6,2,74,3,12.3,3.1,2,unhealthy
38.3,15.1,48,12067,6.5,3,58,1.7,12.2,4.9,4,healthy
39.3,7.5,21,5785,7.2,2,38,1.6,14.6,4.7,3,unhealthy
39.2,5.1,14,5073,7.2,2,46,1.3,13.2,3,3,unhealthy
40.3,13.3,22,7002,6.9,3,41,1.3,14.5,3,2,unhealthy
38.1,13.1,45,13257,4.8,2,60,2,11.5,6.3,3,healthy
39.1,13.3,14,5004,7.2,5,42,2.4,14.2,5.2,3,unhealthy
38.9,5.1,14,5004,7.2,1,37,1.3,15.2,5.7,3,unhealthy
39.1,8.8,14,6149,7.1,1,52,2,15,6.4,3,unhealthy
35.5,11.7,35,11768,3.9,2,78,2.5,13.7,7,3,healthy
38.1,15.4,21,10921,4.8,2,60,1.6,12.1,6.8,2,healthy
39,7.6,14,6670,7.2,1,37,1.8,16,4.4,2,unhealthy
39.2,10.2,18,5884,7.2,4,37,2,13.4,4.8,4,unhealthy
39.1,11.7,14,5890,6.8,4,37,1.6,15.3,6,2,unhealthy
38.1,23.3,34,13257,4.5,3,81,2.7,10.9,6.6,2,healthy
39.1,10,17,8610,7.2,3,43,1.9,14.7,5.3,5,unhealthy
39.1,11.3,19,12302,4.3,3,50,3.6,12.2,7,3,healthy
38.2,10.9,30,12956,4.6,2,73,2.2,11.3,5.9,4,unhealthy
39.1,8.9,18,5563,7.2,3,48,1.8,14.9,3.7,1,unhealthy
38.3,20.4,28,12578,3.8,1,72,2.2,11,5.1,3,healthy
37.9,15.2,21,12607,3.5,3,48,1.3,15.3,6.7,2,healthy
38.2,11.5,19,12596,4.6,3,81,2.6,11.5,7,3,healthy
39.4,14.4,14,5809,3.3,1,37,2.7,13.5,5.2,3,unhealthy
39.2,15.7,14,6674,6.7,3,38,1.5,13.5,4.5,1,unhealthy
37.9,16.7,22,8109,6.8,3,40,1.4,11.7,4.6,2,healthy
39,8.6,14,5787,7.2,3,47,2,14.8,5.1,3,unhealthy
37.8,16.8,22,12082,4.1,2,82,2.8,12.1,7,3,healthy
38,22.8,22,12580,4,1,83,3.4,11.2,7,3,healthy
37.8,12.3,40,12655,4.6,4,42,3.3,12.8,6.2,3,healthy
38.2,9,27,13257,4.9,1,71,2.4,11.7,6.3,4,healthy
38.1,23.8,41,6938,7.2,1,76,2.6,12.6,7,4,healthy
38.9,13.2,14,5016,7.2,1,41,1.9,15,5.5,1,unhealthy
37.9,10.3,27,12236,4.8,3,81,2.9,12,7,5,healthy
39.6,12.9,18,7103,7,3,44,1.6,13.4,4.1,3,unhealthy
39.5,13.8,20,5749,6.7,2,45,1.3,14.1,4.5,2,unhealthy
37.9,13.8,46,13257,4,2,44,2.9,12.3,5.7,3,healthy
39.4,12.6,20,6411,7.2,3,47,1.3,14.3,4.3,1,healthy
39.9,9.5,14,6391,7.1,3,40,1.3,14.7,3,3,unhealthy
37.7,6.8,34,6695,4.4,1,41,2.4,14.2,5,2,unhealthy
37.9,24,14,12788,4,3,80,4,12.3,5.9,3,healthy
39.3,5.7,18,6458,7.2,3,47,3.6,15.4,5.7,3,unhealthy
38.9,11.3,17,5318,7.2,3,49,3.6,15,5.9,3,healthy
39.8,17,28,5523,6.8,3,48,1.3,14.5,3.7,3,unhealthy
38.3,12.7,20,12461,4.5,4,83,1.6,12.4,6.2,4,healthy
39.1,13.7,14,5253,7.2,3,37,2.5,14.5,6.2,3,unhealthy
39.4,5.6,14,7055,7.1,1,46,1.3,15.3,3,1,unhealthy
39.4,7.6,14,5004,7.2,3,37,1.3,13.8,4.9,2,unhealthy
39.1,14.1,14,5712,7.2,2,50,2.5,13.8,5.7,2,unhealthy
39,14.2,14,6824,7.2,2,43,1.4,14.4,3,3,unhealthy
39.2,5.1,14,7098,7.2,3,41,1.3,15.3,4.4,3,unhealthy
37.9,17.1,31,11047,4.4,1,67,3.7,12.2,6.6,2,healthy
39,5.3,14,5482,7.2,3,37,1.4,14.9,4.1,2,unhealthy
39.4,5.5,17,5428,7.2,3,43,1.3,14.6,5.1,2,unhealthy
39.6,8.2,24,12465,7.2,2,47,1.7,15.1,6.2,3,unhealthy
37.8,24.4,32,13092,4.6,5,82,3,12.8,7,4,healthy
38.9,14.3,14,6247,6,2,45,1.9,15.1,7,2,unhealthy
38.1,11.2,14,12417,7.2,3,79,2.1,12.2,6.5,3,healthy
39.1,13.5,14,6796,6.7,3,39,1.3,15.9,3,2,unhealthy
39,15.6,23,5598,6.8,1,38,2.2,13.5,6,2,healthy
37.1,20.2,17,13257,4.3,3,43,3.7,12.1,4.3,2,healthy
39.4,13.1,17,5004,7.2,4,48,1.3,14.1,5.2,3,healthy
39.3,12,14,5004,6.5,3,48,2.4,15.2,4.4,3,unhealthy
